x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-3,0.001883027,0.295520207,0.955336489,0.004759272,4.07831476,-2.99999058,0.00377935,0.29554294,0.95532946,0.00951378
-2.99999058,0.00377935,0.29554294,0.95532946,0.00951378,4.09243314,-2.99997169,0.00568871,0.29558838,0.9553154,0.01426404
-2.99997169,0.00568871,0.29558838,0.9553154,0.01426404,4.10640769,-2.99994324,0.00761087,0.29565652,0.95529431,0.01901056
-2.99994324,0.00761087,0.29565652,0.95529431,0.01901056,4.12024059,-2.99990519,0.00954558,0.29574732,0.95526621,0.02375386
-2.99990519,0.00954558,0.29574732,0.95526621,0.02375386,4.13393398,-2.99985746,0.01149259,0.29586077,0.95523107,0.02849443
-2.99985746,0.01149259,0.29586077,0.95523107,0.02849443,4.14748998,-2.9998,0.01345168,0.29599686,0.95518891,0.0332328
-2.9998,0.01345168,0.29599686,0.95518891,0.0332328,4.16091068,-2.99973274,0.01542258,0.29615558,0.95513971,0.03796946
-2.99973274,0.01542258,0.29615558,0.95513971,0.03796946,4.17419815,-2.99965563,0.01740508,0.2963369,0.95508347,0.04270493
-2.99965563,0.01740508,0.2963369,0.95508347,0.04270493,4.18735444,-2.9995686,0.01939893,0.29654083,0.95502018,0.0474397
-2.9995686,0.01939893,0.29654083,0.95502018,0.0474397,4.20038158,-2.99947161,0.0214039,0.29676735,0.95494981,0.05217429
-2.99947161,0.0214039,0.29676735,0.95494981,0.05217429,4.21328155,-2.99936459,0.02341976,0.29701646,0.95487236,0.0569092
-2.99936459,0.02341976,0.29701646,0.95487236,0.0569092,4.22605632,-2.99924749,0.02544628,0.29728815,0.95478781,0.06164493
-2.99924749,0.02544628,0.29728815,0.95478781,0.06164493,4.23870784,-2.99912026,0.02748323,0.29758243,0.95469613,0.06638198
-2.99912026,0.02748323,0.29758243,0.95469613,0.06638198,4.25123801,-2.99898284,0.0295304,0.29789928,0.95459731,0.07112086
-2.99898284,0.0295304,0.29789928,0.95459731,0.07112086,4.26364873,-2.99883519,0.03158755,0.29823872,0.95449131,0.07586207
-2.99883519,0.03158755,0.29823872,0.95449131,0.07586207,4.27594186,-2.99867725,0.03365446,0.29860075,0.95437812,0.08060611
-2.99867725,0.03365446,0.29860075,0.95437812,0.08060611,4.28811923,-2.99850898,0.03573092,0.29898537,0.95425769,0.08535347
-2.99850898,0.03573092,0.29898537,0.95425769,0.08535347,4.30018264,-2.99833033,0.0378167,0.29939259,0.95413001,0.09010467
-2.99833033,0.0378167,0.29939259,0.95413001,0.09010467,4.31213388,-2.99814124,0.03991161,0.29982242,0.95399503,0.09486018
-2.99814124,0.03991161,0.29982242,0.95399503,0.09486018,4.32397468,-2.99794168,0.04201541,0.30027486,0.95385272,0.09962053
-2.99794168,0.04201541,0.30027486,0.95385272,0.09962053,4.33570677,-2.99773161,0.04412791,0.30074994,0.95370303,0.10438619
-2.99773161,0.04412791,0.30074994,0.95370303,0.10438619,4.34733184,-2.99751097,0.04624888,0.30124767,0.95354593,0.10915768
-2.99751097,0.04624888,0.30124767,0.95354593,0.10915768,4.35885154,-2.99727972,0.04837814,0.30176806,0.95338137,0.11393548
-2.99727972,0.04837814,0.30176806,0.95338137,0.11393548,4.37026751,-2.99703783,0.05051546,0.30231113,0.95320931,0.1187201
-2.99703783,0.05051546,0.30231113,0.95320931,0.1187201,4.38158136,-2.99678525,0.05266066,0.3028769,0.95302969,0.12351203
-2.99678525,0.05266066,0.3028769,0.95302969,0.12351203,4.39279463,-2.99652195,0.05481352,0.3034654,0.95284246,0.12831177
-2.99652195,0.05481352,0.3034654,0.95284246,0.12831177,4.40390889,-2.99624788,0.05697385,0.30407664,0.95264757,0.13311981
-2.99624788,0.05697385,0.30407664,0.95264757,0.13311981,4.41492564,-2.99596301,0.05914145,0.30471065,0.95244497,0.13793665
-2.99596301,0.05914145,0.30471065,0.95244497,0.13793665,4.42584635,-2.99566731,0.06131613,0.30536747,0.95223459,0.14276278
-2.99566731,0.06131613,0.30536747,0.95223459,0.14276278,4.43667247,-2.99536073,0.0634977,0.30604711,0.95201637,0.14759871
-2.99536073,0.0634977,0.30604711,0.95201637,0.14759871,4.44740541,-2.99504324,0.06568596,0.30674961,0.95179025,0.15244492
-2.99504324,0.06568596,0.30674961,0.95179025,0.15244492,4.45804657,-2.99471481,0.06788072,0.30747499,0.95155616,0.15730191
-2.99471481,0.06788072,0.30747499,0.95155616,0.15730191,4.46859728,-2.99437541,0.07008181,0.30822331,0.95131403,0.16217017
-2.99437541,0.07008181,0.30822331,0.95131403,0.16217017,4.47905887,-2.994025,0.07228903,0.30899458,0.9510638,0.16705021
-2.994025,0.07228903,0.30899458,0.9510638,0.16705021,4.48943262,-2.99366355,0.07450221,0.30978885,0.95080538,0.17194251
-2.99366355,0.07450221,0.30978885,0.95080538,0.17194251,4.49971978,-2.99329104,0.07672115,0.31060615,0.9505387,0.17684757
